	cpmid	n	avg_accuracy	max_accuracy	median_accuracy	std_error
178	12717251_8086_x_C536008	4	1.0	1.0	1.0	0.0
179	12717251_8086_x_C536008	5	1.0	1.0	1.0	0.0
180	12717251_8086_x_C536008	6	1.0	1.0	1.0	0.0
181	12717251_8086_x_C536008	7	1.0	1.0	1.0	0.0
182	12717251_8086_x_C536008	8	1.0	1.0	1.0	0.0
183	12717251_8086_x_C536008	9	1.0	1.0	1.0	0.0
184	12717251_8086_x_C536008	10	1.0	1.0	1.0	0.0
185	12717251_8086_x_C536008	11	1.0	1.0	1.0	0.0
186	12717251_8086_x_C536008	12	1.0	1.0	1.0	0.0
187	12717251_8086_x_C536008	13	1.0	1.0	1.0	0.0
188	12717251_8086_x_C536008	14	1.0	1.0	1.0	0.0
189	12717251_8086_x_C536008	15	1.0	1.0	1.0	0.0
190	12793312_5443_x_C536008	1	0.52	0.7	0.5	0.04898979485566355
191	12793312_5443_x_C536008	2	0.6	0.7	0.6	0.03162277660168379
192	12793312_5443_x_C536008	3	0.6399999999999999	0.9	0.7	0.09797958971132713
193	12793312_5443_x_C536008	4	0.72	0.9	0.8	0.07348469228349534
194	12793312_5443_x_C536008	5	0.82	0.9	0.9	0.058309518948452994
195	12793312_5443_x_C536008	6	0.9	1.0	0.9	0.031622776601683784
196	12793312_5443_x_C536008	7	0.9800000000000001	1.0	1.0	0.019999999999999993
197	12793312_5443_x_C536008	8	0.96	1.0	1.0	0.02449489742783177
198	12793312_5443_x_C536008	9	0.9800000000000001	1.0	1.0	0.019999999999999993
199	12793312_5443_x_C536008	10	1.0	1.0	1.0	0.0
200	12793312_5443_x_C536008	11	1.0	1.0	1.0	0.0
201	12793312_5443_x_C536008	12	1.0	1.0	1.0	0.0
202	12793312_5443_x_C536008	13	1.0	1.0	1.0	0.0
203	12793312_5443_x_C536008	14	1.0	1.0	1.0	0.0
204	12793312_5443_x_C536008	15	1.0	1.0	1.0	0.0
205	12872847_C532103_x_D018981	1	0.96	1.0	1.0	0.024494897427831765
206	12872847_C532103_x_D018981	2	0.96	1.0	1.0	0.024494897427831775
207	12872847_C532103_x_D018981	3	1.0	1.0	1.0	0.0
208	12872847_C532103_x_D018981	4	1.0	1.0	1.0	0.0
209	12872847_C532103_x_D018981	5	1.0	1.0	1.0	0.0
210	12872847_C532103_x_D018981	6	1.0	1.0	1.0	0.0
211	12872847_C532103_x_D018981	7	1.0	1.0	1.0	0.0
212	12872847_C532103_x_D018981	8	1.0	1.0	1.0	0.0
213	12872847_C532103_x_D018981	9	1.0	1.0	1.0	0.0
214	12872847_C532103_x_D018981	10	1.0	1.0	1.0	0.0
215	12872847_C532103_x_D018981	11	1.0	1.0	1.0	0.0
216	12872847_C532103_x_D018981	12	1.0	1.0	1.0	0.0
217	12872847_C532103_x_D018981	13	1.0	1.0	1.0	0.0
218	12872847_C532103_x_D018981	14	1.0	1.0	1.0	0.0
219	12872847_C532103_x_D018981	15	1.0	1.0	1.0	0.0
220	12882516_C097320_x_D000544	1	0.5199999999999999	0.7	0.6	0.07348469228349533
221	12882516_C097320_x_D000544	2	0.36	0.5	0.4	0.06782329983125268
222	12882516_C097320_x_D000544	3	0.38	0.7	0.3	0.10198039027185568
223	12882516_C097320_x_D000544	4	0.6599999999999999	0.7	0.7	0.03999999999999999
224	12882516_C097320_x_D000544	5	0.6	0.8	0.6	0.08366600265340755
225	12882516_C097320_x_D000544	6	0.62	0.7	0.6	0.019999999999999993
226	12882516_C097320_x_D000544	7	0.78	0.9	0.8	0.048989794855663564
227	12882516_C097320_x_D000544	8	0.7600000000000001	0.8	0.8	0.04000000000000001
228	12882516_C097320_x_D000544	9	0.9199999999999999	1.0	0.9	0.037416573867739396
229	12882516_C097320_x_D000544	10	0.9199999999999999	1.0	0.9	0.019999999999999993
230	12882516_C097320_x_D000544	11	0.9199999999999999	1.0	1.0	0.05830951894845301
231	12882516_C097320_x_D000544	12	0.9800000000000001	1.0	1.0	0.019999999999999993
232	12882516_C097320_x_D000544	13	1.0	1.0	1.0	0.0
233	12882516_C097320_x_D000544	14	1.0	1.0	1.0	0.0
234	12882516_C097320_x_D000544	15	1.0	1.0	1.0	0.0
235	12882516_D004967_x_D000544	1	0.31999999999999995	0.4	0.3	0.03741657386773942
236	12882516_D004967_x_D000544	2	0.27999999999999997	0.4	0.3	0.05830951894845301
